"Method","M","R2","RMSE","MAE"
"arf",5,0.816699583744222,5071.86436718817,3643.25947580084
"arf",5,0.799088323310726,5286.32486277277,3565.92273468437
"arf",5,0.80974515847929,5160.0387946965,3515.36404436663
"arf",5,0.791608696307388,5522.55730887119,4028.17153281538
"arf",10,0.801207018505666,5314.99388400243,3690.84379274691
"arf",10,0.821810185915295,5018.79877212026,3538.14145682697
"arf",10,0.817286126504234,5063.69420905683,3646.43862732252
"arf",10,0.797265522802797,5308.14345921853,3569.75836487541
"arf",10,0.812143073843912,5129.86934706809,3499.73285161037
"arf",10,0.793979163739775,5503.91088805139,4045.61886606722
"arf",10,0.826769850940386,4957.56060536451,3455.94428446069
"arf",10,0.804873967695381,5280.96983367607,3734.29540964031
"arf",10,0.82466102808832,4912.99105099089,3243.7819461318
"arf",10,0.819597096911503,5098.90287116294,3509.44140364271
"arf",50,0.798954437784233,5353.760276069,3743.25408931906
"arf",50,0.820871673849825,5022.56138780979,3544.84686690865
"arf",50,0.814240959115756,5145.29348333544,3582.57989359432
"arf",50,0.822410723399507,5031.54038226076,3461.49839739921
"arf",50,0.817028279546004,5064.37363201233,3453.84184562691
"arf",50,0.827181372318655,4925.22003407595,3244.36094469893
"arf",50,0.793426399421022,5424.71184433103,3711.14676476607
"arf",50,0.838522244929861,4818.79958257619,3421.67247267256
"arf",50,0.813280432924311,5187.01999534665,3686.79577897482
"arf",50,0.820712535708694,5025.03181969317,3394.83191692017
"arf",50,0.826421732048391,4905.55293427088,3225.13879629012
"arf",50,0.814872122531584,5097.32958027834,3664.54580574388
"arf",50,0.832666553586716,4963.69094793007,3720.81398337305
"arf",50,0.815946233465577,5116.0265314583,3643.01688395161
"arf",50,0.813805112217011,5096.35649748759,3573.77809457582
"arf",50,0.822422507197876,5008.29603851675,3381.09990247259
"arf",50,0.825163986021803,4938.79418680287,3260.72340975682
"arf",50,0.78866643889928,5419.88674447464,3785.05650151014
"arf",50,0.816095777268994,5199.25939895296,3805.8379338381
"arf",50,0.830258858087695,4926.10246077954,3512.14441822001
"arf",50,0.810619838635209,5169.61736176846,3633.94256265881
"arf",50,0.835484037452102,4884.6650719508,3494.20352710153
"arf",50,0.801066575974992,5264.90622220297,3554.31555486186
"arf",50,0.814558050141717,5088.01001223346,3517.04070609181
"arf",50,0.816124890013098,5136.79883631517,3652.29224177496
"arf",50,0.835203031073095,4808.37974381554,3271.52372026023
"arf",50,0.831462696209064,4855.50377767499,3216.65014978418
"arf",50,0.81625438693119,5175.6355215615,3651.01763336112
"arf",50,0.820877716041448,5189.66319124284,3625.94558424956
"arf",50,0.816528911978408,5167.60489370935,3644.59847788077
"arf",50,0.824855684953676,4998.81973896637,3491.06637568646
"arf",50,0.809309060265486,5204.07510516219,3736.66705315395
"arf",50,0.830301907194644,4917.35520573917,3451.94187850436
"arf",50,0.81259663574816,5117.83208154525,3492.98280117362
"arf",50,0.837336054578883,4869.32825770922,3282.08607356461
"arf",50,0.82419779130285,5020.2674117285,3440.3937181923
"arf",50,0.812781687519129,5118.32991235323,3469.20590334208
"arf",50,0.822409731020101,5102.47149041676,3729.13980251233
"arf",50,0.792466081182805,5465.61140188043,3966.36452402125
"arf",50,0.798103124433703,5292.04787459023,3637.53695951992
"arf",50,0.797512031576344,5378.59505219299,3836.16808253455
"arf",50,0.8271578297139,4933.21170338333,3494.81701054213
"arf",50,0.818114230601605,5024.67349676107,3407.21906783688
"arf",50,0.824232315362281,5025.62334253923,3541.92821643654
"arf",50,0.793616289451963,5501.05981597867,4036.20465461905
"arf",50,0.815848794650764,5097.30252032874,3422.65357730221
"arf",50,0.827083083096138,4956.60983768257,3450.3746013058
"arf",50,0.804392702410613,5285.69599778835,3722.05246331831
"arf",50,0.825312557429904,4904.07432680869,3230.29866753274
"arf",50,0.818130990270931,5118.50461320642,3521.62511939203
"privbayes",5,0.333913899343396,10123.5271520512,7090.51689168157
"privbayes",5,0.43251951597223,9615.23935341704,6904.24772021198
"privbayes",5,0.295751839811743,10271.7698623633,7047.48267447836
"privbayes",5,0.337665992988538,9880.07968058888,6901.08597965269
"privbayes",5,0.312130801959088,10087.7200437372,7287.13089218741
"privbayes",10,0.331862631076093,10133.0616680088,7103.97592309119
"privbayes",10,0.284333351613641,10346.4205848297,7344.66550874544
"privbayes",10,0.447531574037826,9592.0029022496,6889.26291983412
"privbayes",10,0.292779619815816,10284.9800811055,7040.41821463693
"privbayes",10,0.327761651204584,9935.26393149109,6952.33189555736
"privbayes",10,0.31381172441223,10089.8458511567,7306.70201327926
"privbayes",10,0.398571746374356,9670.85220318148,6981.65837818165
"privbayes",10,0.500694499621425,9266.67466739077,6711.05620811588
"privbayes",10,0.361901232032487,9984.51502929726,6941.59821785682
"privbayes",10,0.374158988028873,10057.522073322,7165.66797140777
"privbayes",50,0.340469062036991,10112.7634110075,7084.16056653298
"privbayes",50,0.273156134555284,10373.748297813,7363.18471603332
"privbayes",50,0.282679186913432,10166.4459018472,7227.97045233165
"privbayes",50,0.373059867791181,9824.40364601119,6888.96211910309
"privbayes",50,0.338172470801367,10042.6890942892,7183.9436929056
"privbayes",50,0.397355218549813,9832.20027701237,6990.46109767291
"privbayes",50,0.397401953119529,9646.48598713157,6886.01342029219
"privbayes",50,0.351436013465504,10101.7234206804,7252.76039884771
"privbayes",50,0.442129642958907,9469.44203769876,6805.82008786416
"privbayes",50,0.56231843367707,9129.57282416548,6672.67912831493
"privbayes",50,0.380236034499131,9884.44174370782,6976.5304208412
"privbayes",50,0.444908043905506,9581.20330770263,6870.02976154075
"privbayes",50,0.180953818500918,10723.9150125977,7582.58769169129
"privbayes",50,0.438010971230619,9557.17638618832,6793.39953699529
"privbayes",50,0.400681861539154,9772.10545961202,6996.23348429544
"privbayes",50,0.487950979398141,9445.77828675458,6762.97927759975
"privbayes",50,0.360021542032098,9824.80592313574,7154.18121390211
"privbayes",50,0.29481454849642,10163.6740363809,7231.47857268924
"privbayes",50,0.322850575638057,10049.899157404,7149.76359666885
"privbayes",50,0.361100284335247,9819.51808802315,7181.55297295176
"privbayes",50,0.463766600457658,9655.89332627219,6902.649364758
"privbayes",50,0.399047372912043,9733.24189429058,6797.82963627846
"privbayes",50,0.286268654213678,10330.4993893585,7087.17511674884
"privbayes",50,0.442490831818355,9402.64776343011,6747.67318117323
"privbayes",50,0.383732850986079,9793.73614036412,7090.0542031145
"privbayes",50,0.399565316426182,9555.08537436929,6743.33099341864
"privbayes",50,0.312421168917101,10138.8117034828,7228.68374105029
"privbayes",50,0.365608766905932,9938.54570516464,7130.55056096657
"privbayes",50,0.328500371508118,10039.8197997975,7126.26077347514
"privbayes",50,0.39595629304179,9865.15336737403,6987.69679416291
"privbayes",50,0.4117474712143,10021.5924104363,6921.29094382678
"privbayes",50,0.342938290002239,9951.58513604314,6939.40312803048
"privbayes",50,0.426183290202873,9471.13510854065,6800.14378453107
"privbayes",50,0.337057591672557,9892.98163076742,6895.11627672545
"privbayes",50,0.403756237726333,9448.56863303772,6911.24784882906
"privbayes",50,0.345478077173178,9804.70974624717,6969.92256800346
"privbayes",50,0.40964197376837,9875.03906845307,6930.45210282479
"privbayes",50,0.422962636772568,9507.73953890242,6952.4779293628
"privbayes",50,0.317362865688381,9985.96699704345,7287.05820789014
"privbayes",50,0.486433779734042,9338.41646357156,6811.91406797283
"privbayes",50,0.34824370834473,9857.41291088591,7265.55069462547
"privbayes",50,0.381937256735119,9412.47219345292,6676.58799772662
"privbayes",50,0.328234430950845,9999.32497682916,7036.38788422002
"privbayes",50,0.476875842740393,9286.38495142858,6655.88379778439
"privbayes",50,0.310785531521373,10099.3311414717,7308.14687813164
"privbayes",50,0.315429044797434,10043.7160861147,7104.72212506442
"privbayes",50,0.404256217521815,9653.89778956047,6992.13271400754
"privbayes",50,0.503174984763975,9275.41906379251,6700.37417647698
"privbayes",50,0.356136208702379,10006.6407304149,6963.40792368297
"privbayes",50,0.376401783395643,10045.8270422164,7147.37508077532
"ctgan",5,0.686760851322001,7475.42433844551,4963.60817534856
"ctgan",5,0.675903961596731,7454.82695923403,5075.2236253249
"ctgan",5,0.607054943934587,8300.8559510476,5611.09986668097
"ctgan",5,0.626343958592582,7967.34787754509,5205.0906671569
"ctgan",5,0.695777643953223,7196.86052758108,4844.33606024775
"ctgan",10,0.684421532710333,7469.73456926474,4972.45107038321
"ctgan",10,0.637535228562557,7599.6156163483,5388.69329856374
"ctgan",10,0.680542477302508,7410.46700367565,5024.2295431261
"ctgan",10,0.610831238584546,8337.78713695986,5622.73727865594
"ctgan",10,0.634778608298517,7908.89776490799,5167.88204827877
"ctgan",10,0.70737387642989,7147.80317271206,4787.47961893714
"ctgan",10,0.701698677198419,7937.48499846661,5258.70160547573
"ctgan",10,0.589925886239844,7975.16853457615,5453.77001307813
"ctgan",10,0.690545461294843,7231.87467901073,4888.61881586465
"ctgan",10,0.622770624313942,7723.6876164309,5201.64565867231
"ctgan",50,0.681322026379953,7458.39541730012,5003.7154141723
"ctgan",50,0.637288638574851,7568.42293620992,5365.04602953482
"ctgan",50,0.65196054643026,7620.23589286123,4983.49557083467
"ctgan",50,0.646885464940426,7777.05562273327,5234.54387545831
"ctgan",50,0.634221120412117,7609.3893520352,5202.27327230277
"ctgan",50,0.62294472747123,8120.27011149265,5478.68573827793
"ctgan",50,0.613768566957929,8071.53926859538,5328.38789907022
"ctgan",50,0.633095481043659,8054.64477216727,5453.68963023807
"ctgan",50,0.601311786804336,7957.6103197058,5613.83286810748
"ctgan",50,0.6676369641049,7646.20093671376,5161.63049159768
"ctgan",50,0.606976979581263,8151.61236135551,5653.59474086872
"ctgan",50,0.677629479567759,7448.46829400221,5051.87519195707
"ctgan",50,0.580076623430838,7930.84303532871,5628.99095040299
"ctgan",50,0.637275186534761,7937.32152661009,5137.55726850434
"ctgan",50,0.622117332502381,8100.044415329,5478.45772216432
"ctgan",50,0.646242886590941,7902.92109637912,5317.27350839536
"ctgan",50,0.657183086263013,7795.7280160153,5131.30598487572
"ctgan",50,0.651034447443237,7609.0147273386,5144.51576709181
"ctgan",50,0.640330131424704,7783.65977983569,5129.53685745738
"ctgan",50,0.590464521216641,7914.65345503724,5408.42413628612
"ctgan",50,0.655755104051387,7837.25288227188,5129.76319840296
"ctgan",50,0.663057568727031,7812.18138711188,5143.64134382859
"ctgan",50,0.606134545446735,8309.31187325924,5606.60753911318
"ctgan",50,0.683175871056319,7264.80474538485,5024.99379438348
"ctgan",50,0.662867149793784,7559.61332465231,5174.30085995634
"ctgan",50,0.606910507447641,7943.3200280932,5434.14288477634
"ctgan",50,0.651200626575214,7879.56998221821,5105.71173449942
"ctgan",50,0.60666297027487,7988.39923461177,5714.87893914777
"ctgan",50,0.607651317688944,8224.57140304808,5206.20166891161
"ctgan",50,0.655056322219184,7352.51943814911,5106.60516743377
"ctgan",50,0.667707687184254,7403.07428369394,4949.01509637855
"ctgan",50,0.65022426256048,7834.52810650682,5174.20723665254
"ctgan",50,0.685848701395597,7654.42680337924,5077.56740955906
"ctgan",50,0.637059119344673,7893.61144455486,5159.73632043242
"ctgan",50,0.65204031083486,8078.41064702634,5305.80858333258
"ctgan",50,0.597046029439244,7857.24588475534,5702.29334461982
"ctgan",50,0.632834068716266,7949.17393104555,5597.05800170833
"ctgan",50,0.607204619342353,7998.18890930735,5148.26561330663
"ctgan",50,0.653346053369129,7885.16088535796,5307.81951513456
"ctgan",50,0.660051457255457,7580.57795131813,5416.85445769811
"ctgan",50,0.603930093223837,8284.6147765594,5686.03011813151
"ctgan",50,0.61423788719784,8028.05508176877,5292.72212362218
"ctgan",50,0.602536484656125,8084.87729075604,5423.52438443083
"ctgan",50,0.616765942993055,7766.3080783893,5290.2929511898
"ctgan",50,0.698976929180385,7159.03811410268,4838.76655133414
"ctgan",50,0.641757843022752,7791.880110861,5243.85686746948
"ctgan",50,0.692682204864409,7975.01259044389,5276.91609869306
"ctgan",50,0.579566338388077,8033.40595922492,5513.76258001695
"ctgan",50,0.688727787594773,7282.44050729813,4915.69313682106
"ctgan",50,0.622801448390597,7715.99812281972,5179.71978506711
"tvae",5,0.685367333122644,7110.070279518,5475.66531412214
"tvae",5,0.631156727744812,7598.57323203594,6002.96740949289
"tvae",5,0.570833881814484,8071.24169163716,6304.44191604952
"tvae",5,0.64145474192908,7620.04573847269,5769.16438076783
"tvae",5,0.677671927021704,7325.62820139146,5697.49991214984
"tvae",10,0.687268703996824,7126.41579368671,5487.42148155806
"tvae",10,0.605678442910772,8051.03415444413,6200.0776712126
"tvae",10,0.624969388976339,7651.24652268765,6059.52365517618
"tvae",10,0.571631364528608,8055.56878436307,6318.71361259962
"tvae",10,0.639469587292415,7636.63004958279,5749.76923313425
"tvae",10,0.681096342865794,7288.36731740713,5630.54700432392
"tvae",10,0.660142651082857,7336.5107990165,5743.90738883398
"tvae",10,0.626508622117162,7856.52951739328,6316.70973582052
"tvae",10,0.686307404373747,7195.68199644544,5767.95590812844
"tvae",10,0.65011829063505,7616.67738458445,5956.95858535913
"tvae",50,0.684517677227156,7122.80299338286,5483.87946906073
"tvae",50,0.617945402138429,7960.53567954553,6126.31185930935
"tvae",50,0.530695992785509,8439.49229591169,6743.90327177311
"tvae",50,0.683480706124785,7228.92110318429,5845.65257939578
"tvae",50,0.66371242438281,7231.10950837055,5864.27149391002
"tvae",50,0.63319049111577,7723.80556184852,6154.87996929673
"tvae",50,0.661474673571759,7339.59753026496,5850.81163505766
"tvae",50,0.607167507699983,7811.25916255083,5903.82771038262
"tvae",50,0.630718504312914,7628.33194320723,6177.83118066742
"tvae",50,0.629441321318669,7565.24066463467,6019.88714364774
"tvae",50,0.632695783454133,7766.20971956724,6112.70119447211
"tvae",50,0.631878296524231,7606.3422110654,6015.71218095718
"tvae",50,0.659055776215035,7656.48749878005,6058.97341424794
"tvae",50,0.706271575728038,6956.10567549799,5489.22442303285
"tvae",50,0.624322182548717,7628.61529853194,5820.55889159402
"tvae",50,0.636833595547832,7690.5566194364,6194.92188937455
"tvae",50,0.60229867126945,7923.13320311653,5968.20864051425
"tvae",50,0.64519623415243,7620.59412266762,6147.20205997645
"tvae",50,0.542519928995594,8230.89347405842,6365.20677842575
"tvae",50,0.64155192001656,7756.89523638198,6372.37369575294
"tvae",50,0.650404683889889,7515.2035845664,5942.03671326736
"tvae",50,0.597100293535927,8004.99715818473,6226.40478982468
"tvae",50,0.573995245752538,8058.19121639222,6337.4466511368
"tvae",50,0.623741577151379,7524.17493751756,5914.61148070418
"tvae",50,0.635783394819775,7483.52908028365,5778.07876267347
"tvae",50,0.629081989829122,7525.36293002566,6005.41781888608
"tvae",50,0.538035368979635,8344.21352870255,6735.48250929042
"tvae",50,0.612871721259005,7962.92139075491,6301.11925000284
"tvae",50,0.61954233254633,7912.56645180944,6172.42232913445
"tvae",50,0.638945195440693,7756.75613705535,6019.07308152535
"tvae",50,0.640269528910794,7688.94203461597,5945.56099451997
"tvae",50,0.611606791889152,7922.39514135981,6033.09235047072
"tvae",50,0.705481121014005,7197.70630977653,5607.37539184441
"tvae",50,0.639089875259642,7642.51503030482,5800.64118173051
"tvae",50,0.569166590141806,8164.8633538581,6395.43138668632
"tvae",50,0.543856460160969,8145.72046417058,6165.13094736035
"tvae",50,0.60855893050916,7780.80420170303,6039.832448401
"tvae",50,0.632696405170165,7761.11159205451,6188.34474716078
"tvae",50,0.683867429208773,7129.59031654294,5588.28685417461
"tvae",50,0.652435696347668,7449.69073815329,6106.10729831555
"tvae",50,0.611918777040522,7635.15609515858,5726.69818396164
"tvae",50,0.650152458371998,7527.96067482821,5662.0435392081
"tvae",50,0.542700695536124,8246.18489946709,6384.93807493182
"tvae",50,0.631389467333509,7646.39829580468,6027.32592781841
"tvae",50,0.673640638405367,7325.82340166189,5704.9428430776
"tvae",50,0.580446913273951,8054.10787859223,6469.56384505768
"tvae",50,0.66185325430786,7345.06471206604,5762.25283525669
"tvae",50,0.630709835117282,7846.39446432076,6295.74536146987
"tvae",50,0.69235452295384,7147.78071609284,5697.74262495217
"tvae",50,0.649985777046488,7634.59893952727,5976.83118580239
"tabsyn",5,0.817702866442912,4976.59181173355,2939.43667717759
"tabsyn",5,0.829540136942633,4808.57199252113,2714.95205494481
"tabsyn",5,0.820528281922789,4939.72080009119,3133.88997817762
"tabsyn",5,0.826138252937512,4858.69351154615,2977.45213283915
"tabsyn",5,0.823727925935984,4889.0720895089,3013.3483712279
"tabsyn",10,0.818513727963706,4964.32339234827,2918.14176064187
"tabsyn",10,0.83275332526249,4765.00833173555,2945.68512414044
"tabsyn",10,0.8268628715865,4846.93270752946,2740.89804292521
"tabsyn",10,0.821096803639286,4931.78139984077,3131.11512649155
"tabsyn",10,0.824672215189654,4880.55854274172,3014.96584257577
"tabsyn",10,0.824709646427156,4876.57587429714,3003.25576204146
"tabsyn",10,0.824839753640095,4875.32899546397,3009.85842485153
"tabsyn",10,0.819158920291797,4948.72960064747,2976.58838656033
"tabsyn",10,0.814873876396206,5011.67064544963,3176.34364068839
"tabsyn",10,0.832131490721791,4771.49577155755,2874.24139870545
"tabsyn",50,0.818441172131469,4962.88120102845,2932.02393114215
"tabsyn",50,0.833232863937269,4757.93117149201,2936.08936746361
"tabsyn",50,0.816306835890006,4988.17958313035,2980.97113219625
"tabsyn",50,0.824647040052965,4873.36668794826,2882.41328349118
"tabsyn",50,0.841365820861584,4669.12491973372,2578.09717784077
"tabsyn",50,0.829727132242947,4821.54390796701,3041.84633471043
"tabsyn",50,0.820155441919621,4938.51825728408,3008.49680619088
"tabsyn",50,0.840502109963091,4668.70850194533,2899.86965925944
"tabsyn",50,0.828517760883008,4826.31241618955,2839.39216802109
"tabsyn",50,0.835098002089237,4735.62363872904,2828.15065478243
"tabsyn",50,0.831865682571008,4783.99780215275,3050.47598692412
"tabsyn",50,0.828484223893626,4824.7316747517,2707.32330480521
"tabsyn",50,0.832450128706489,4765.41348751367,2903.52674874794
"tabsyn",50,0.828062854061021,4835.55607179519,3005.27600564937
"tabsyn",50,0.829816266966966,4825.69475564776,3015.8758011305
"tabsyn",50,0.829974604928586,4802.3917001873,2889.88569811372
"tabsyn",50,0.840515056024384,4675.73792182346,2916.49880389438
"tabsyn",50,0.829920712537341,4824.30396992395,2991.4082905668
"tabsyn",50,0.8210799722933,4930.05094382923,2995.11927292221
"tabsyn",50,0.825120697350843,4875.48926495565,2923.99180121576
"tabsyn",50,0.834710568305269,4736.59787490333,2682.11033230436
"tabsyn",50,0.813225677495493,5129.57588291031,3319.51839737444
"tabsyn",50,0.821508116746855,4926.00895916617,3118.4179113005
"tabsyn",50,0.82117211486307,4926.3781607334,3126.82191294632
"tabsyn",50,0.827289572771589,4840.3168622162,2868.17722354407
"tabsyn",50,0.830156585727344,4801.39150964794,2996.40970848218
"tabsyn",50,0.835733761394184,4723.79855211974,2901.05762018526
"tabsyn",50,0.824837594388393,4870.70614911197,2952.41313017484
"tabsyn",50,0.823327553546898,4895.20444371757,2972.52089666754
"tabsyn",50,0.832640572434347,4766.95099412625,2832.27384065043
"tabsyn",50,0.833408748984708,4750.69497349795,2801.37769904844
"tabsyn",50,0.829582196795948,4817.76573182235,3071.83900132054
"tabsyn",50,0.832432077004045,4779.35977837334,3075.44656480465
"tabsyn",50,0.826526361443688,4853.16426481177,2980.67001090176
"tabsyn",50,0.835792817931644,4727.03939221059,2840.50330480022
"tabsyn",50,0.822658569501732,4911.56801066145,3084.5546113738
"tabsyn",50,0.839926381219924,4668.6596873998,2740.64974751431
"tabsyn",50,0.840958299787899,4641.44277613321,2740.10863999372
"tabsyn",50,0.834803518755954,4765.97755685498,2831.29201036933
"tabsyn",50,0.826709757165528,4864.74245969531,2849.06873935001
"tabsyn",50,0.829969763348463,4802.70436739166,2902.53945060145
"tabsyn",50,0.822366904954417,4905.12274145315,2986.48397325044
"tabsyn",50,0.82587978232451,4859.11344388695,2812.33259014309
"tabsyn",50,0.832394970801098,4778.49945357642,2942.70251532893
"tabsyn",50,0.823609009033255,4891.23791565602,3009.87867768714
"tabsyn",50,0.827367545855348,4838.99733940162,2817.474848244
"tabsyn",50,0.826606722347559,4852.16557985853,3002.28238338451
"tabsyn",50,0.817602280774003,4970.68894388608,3011.51230928828
"tabsyn",50,0.814088621797084,5021.02160769525,3163.78191065053
"tabsyn",50,0.83206422153879,4774.91879147646,2880.69079013203
